frame_start	frame_end	Dorsal-Raphe	Medial-Raphe	Pons
0	30	4.37616	7.48977	11.12441
30	60	1870.93478	1881.49195	1735.37523
60	90	9069.17788	5561.16649	6216.16606
90	120	14184.03437	12925.2201	10398.863
120	150	19616.0045	15996.59432	16754.41326
150	180	24033.3668	18500.54129	18814.16231
180	240	25714.75007	17658.5115	19234.13166
240	300	23635.71942	20057.92517	19504.36746
300	360	23069.82781	24030.81591	19108.46915
360	480	23213.26566	18203.16838	18036.0991
480	600	22574.54967	17222.39605	16139.54808
600	900	20505.26267	17060.60915	15266.61808
900	1200	17032.75402	15077.14194	14181.79879
1200	1500	15142.49446	14373.53271	13274.22182
1500	1800	13098.10909	10943.93171	12224.23932
1800	2100	10609.67804	11251.9075	11018.89801
2100	2400	8292.1919	10592.35808	10463.90305
2400	2700	8193.62066	8173.19402	9342.29201
2700	3000	7304.39383	7179.4186	8755.94022
3000	3300	6500.98129	6863.86266	8349.51801
3300	3600	6331.64321	4988.05262	7813.49048
3600	3900	6488.42803	6262.73141	7523.35594
3900	4200	5727.17235	7192.28697	7458.59813
4200	4500	5974.60452	6791.59734	5933.37784
4500	4800	4053.86237	4410.21502	6645.21746
4800	5100	4052.69034	5558.8973	5578.91667
5100	5400	6750.3307	3039.24131	5551.7029
5400	5700	3152.06556	7051.69494	5557.77853
5700	6000	5393.23805	5688.29449	4745.27749
6000	6300	3120.40429	2996.14985	4681.06428
6300	6600	6773.12123	4097.73577	5461.42977
6600	6900	5295.21786	2997.69085	4325.7844
6900	7200	4239.25376	2628.77991	4413.90822
