frame_start	frame_end	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior	ctx-lh-bankssts	ctx-lh-caudalanteriorcingulate	ctx-lh-caudalmiddlefrontal	ctx-lh-cuneus	ctx-lh-entorhinal	ctx-lh-fusiform	ctx-lh-inferiorparietal	ctx-lh-inferiortemporal	ctx-lh-isthmuscingulate	ctx-lh-lateraloccipital	ctx-lh-lateralorbitofrontal	ctx-lh-lingual	ctx-lh-medialorbitofrontal	ctx-lh-middletemporal	ctx-lh-parahippocampal	ctx-lh-paracentral	ctx-lh-parsopercularis	ctx-lh-parsorbitalis	ctx-lh-parstriangularis	ctx-lh-pericalcarine	ctx-lh-postcentral	ctx-lh-posteriorcingulate	ctx-lh-precentral	ctx-lh-precuneus	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralmiddlefrontal	ctx-lh-superiorfrontal	ctx-lh-superiorparietal	ctx-lh-superiortemporal	ctx-lh-supramarginal	ctx-lh-frontalpole	ctx-lh-temporalpole	ctx-lh-transversetemporal	ctx-lh-insula	ctx-rh-bankssts	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalmiddlefrontal	ctx-rh-cuneus	ctx-rh-entorhinal	ctx-rh-fusiform	ctx-rh-inferiorparietal	ctx-rh-inferiortemporal	ctx-rh-isthmuscingulate	ctx-rh-lateraloccipital	ctx-rh-lateralorbitofrontal	ctx-rh-lingual	ctx-rh-medialorbitofrontal	ctx-rh-middletemporal	ctx-rh-parahippocampal	ctx-rh-paracentral	ctx-rh-parsopercularis	ctx-rh-parsorbitalis	ctx-rh-parstriangularis	ctx-rh-pericalcarine	ctx-rh-postcentral	ctx-rh-posteriorcingulate	ctx-rh-precentral	ctx-rh-precuneus	ctx-rh-rostralanteriorcingulate	ctx-rh-rostralmiddlefrontal	ctx-rh-superiorfrontal	ctx-rh-superiorparietal	ctx-rh-superiortemporal	ctx-rh-supramarginal	ctx-rh-frontalpole	ctx-rh-temporalpole	ctx-rh-transversetemporal	ctx-rh-insula	wm-lh-bankssts	wm-lh-caudalanteriorcingulate	wm-lh-caudalmiddlefrontal	wm-lh-cuneus	wm-lh-entorhinal	wm-lh-fusiform	wm-lh-inferiorparietal	wm-lh-inferiortemporal	wm-lh-isthmuscingulate	wm-lh-lateraloccipital	wm-lh-lateralorbitofrontal	wm-lh-lingual	wm-lh-medialorbitofrontal	wm-lh-middletemporal	wm-lh-parahippocampal	wm-lh-paracentral	wm-lh-parsopercularis	wm-lh-parsorbitalis	wm-lh-parstriangularis	wm-lh-pericalcarine	wm-lh-postcentral	wm-lh-posteriorcingulate	wm-lh-precentral	wm-lh-precuneus	wm-lh-rostralanteriorcingulate	wm-lh-rostralmiddlefrontal	wm-lh-superiorfrontal	wm-lh-superiorparietal	wm-lh-superiortemporal	wm-lh-supramarginal	wm-lh-frontalpole	wm-lh-temporalpole	wm-lh-transversetemporal	wm-lh-insula	wm-rh-bankssts	wm-rh-caudalanteriorcingulate	wm-rh-caudalmiddlefrontal	wm-rh-cuneus	wm-rh-entorhinal	wm-rh-fusiform	wm-rh-inferiorparietal	wm-rh-inferiortemporal	wm-rh-isthmuscingulate	wm-rh-lateraloccipital	wm-rh-lateralorbitofrontal	wm-rh-lingual	wm-rh-medialorbitofrontal	wm-rh-middletemporal	wm-rh-parahippocampal	wm-rh-paracentral	wm-rh-parsopercularis	wm-rh-parsorbitalis	wm-rh-parstriangularis	wm-rh-pericalcarine	wm-rh-postcentral	wm-rh-posteriorcingulate	wm-rh-precentral	wm-rh-precuneus	wm-rh-rostralanteriorcingulate	wm-rh-rostralmiddlefrontal	wm-rh-superiorfrontal	wm-rh-superiorparietal	wm-rh-superiortemporal	wm-rh-supramarginal	wm-rh-frontalpole	wm-rh-temporalpole	wm-rh-transversetemporal	wm-rh-insula	Left-UnsegmentedWhiteMatter	Right-UnsegmentedWhiteMatter
0	30	29.10004	59.66846	20.25469	24.76152	27.35964	10.75259	44.02744	61.75263	33.2322	62.22619	31.07846	98.96997	40.01728	27.10315	9.98332	15.79667	10.47638	20.03605	39.34684	13.58495	16.64495	30.31783	31.87146	49.85846	29.05764	73.38145	13.11437	25.74517	14.20777	18.33403	10.25618	71.6527	47.57135	37.01745	6.01065	16.05638	20.03801	16.90336	14.97672	33.27817	16.33183	2.56043	48.43811	14.62732	21.19786	11.38714	50.14888	13.00055	15.05786	16.09464	11.66791	18.75554	11.73085	8.27816	14.15599	11.67745	37.09872	2.35051	9.87971	14.5841	15.70424	23.25682	13.66278	20.64646	14.0343	9.10175	20.24399	29.09386	5.998	11.53568	14.10913	15.29677	30.3518	17.34614	27.11537	9.04879	50.5168	20.03617	20.89153	68.98435	10.28033	25.56426	37.88146	13.39092	39.76471	28.6619	11.93354	11.52954	19.82618	51.91814	29.56213	10.77098	21.86782	8.92075	19.76719	25.56916	19.35664	24.47728	20.79829	21.94331	38.30105	27.77039	23.66275	24.85378	34.89393	39.70181	16.50562	10.30486	14.58628	2.40497	34.53993	46.8102	16.00442	33.26182	30.62322	14.22538	18.3109	19.26224	19.15219	32.51085	23.90428	4.04553	15.54761	8.05043	29.08172	2.65237	7.22302	19.66849	15.0096	26.37477	15.45234	19.81707	19.51171	9.15475	23.18667	20.0149	8.48044	19.10236	13.4525	33.17792	32.37271	20.93406	33.50699	13.70994	45.56001	19.52325	33.01389	96.5953	8.0954	24.99504	23.51901	12.05521	38.99895	35.23145	10.7902	8.40658	21.82827	20.75923	17.61636	15.73328	24.07947	14.23433	16.92959	23.95322	27.66697	26.12701	27.64213	19.50434	33.86468	30.81996	17.29277	34.39072	32.73598	29.70302	17.51442	24.92934
30	60	1277.92679	2927.64902	2857.46822	3789.82634	3844.59389	2883.30867	3966.4409	3344.9964	3562.22465	2849.73073	3403.84208	3672.04469	3803.91093	3151.1243	4013.52243	3340.03886	3291.16685	2048.81767	1591.22525	2194.28193	3156.78571	3764.28562	3858.95543	3358.41915	4184.41612	3970.1445	3384.46817	3880.82669	3635.98095	3695.84401	5574.96289	2529.32899	3566.1684	1643.4446	2683.07575	2207.7126	2016.59458	2384.56534	4016.03554	5012.4097	3670.32117	3884.99243	3406.22459	3584.164	3670.7145	3748.33903	4108.17177	3897.24717	4176.82963	3909.07715	4579.11437	3747.90011	3733.02895	3623.5717	4386.27036	4274.25862	4364.84707	3939.30436	3600.62753	4801.53656	4075.87951	4065.02558	4829.40299	4196.19527	3813.48148	3709.53523	4374.8078	4119.84531	4346.35833	3291.89853	6602.87766	4889.27151	4383.97095	4414.72528	4021.5557	3795.82319	2788.47879	3788.56436	3765.10916	3637.3886	4250.92092	3836.7648	4586.95399	4052.9638	4859.86479	3747.5501	3691.95973	3705.53181	4413.48665	4544.8552	4619.23933	4311.83221	3908.98772	4626.42088	4150.81193	4027.05809	4711.68984	4492.90629	4031.50534	3670.53785	4407.72875	4049.65996	4109.21027	4991.75711	6422.60307	4581.24821	3238.54254	3085.16359	2774.71059	3182.14131	2928.31198	2555.19551	2977.70685	2856.17338	2439.73191	3445.31826	2837.70435	3414.87953	3056.14881	2804.12732	3111.29575	3459.24884	3338.42657	3363.88267	3283.36326	2747.90386	3087.6225	3344.26508	3495.00922	2989.3655	3081.0123	3131.43606	3146.39722	3107.7758	3254.36673	3190.61091	3491.33844	2574.43135	4476.93697	3010.997	2494.38085	2196.45947	3340.07748	3179.95083	2569.22836	2812.26175	3013.46509	2999.962	2369.65691	3431.26377	2956.33175	3311.57324	3374.13731	3274.01358	3392.1016	2970.7657	2971.05566	3865.58861	3181.98955	3117.43708	3355.95979	2613.29641	3018.90574	2828.43545	2814.39135	3472.19542	3093.87117	3267.03713	3473.13454	2935.26094	3745.6241	2968.0462	4176.92634	2952.09468	1763.39464	1936.32055
60	90	5936.61172	12311.63294	13673.42538	16691.33028	16719.51612	13607.66948	17531.58189	13788.44155	14656.25307	10743.49277	13706.62199	14788.88348	14991.3455	13076.92134	16626.22129	13691.04656	13260.95754	8515.60084	6601.18914	10801.71598	13394.45193	17101.75232	16597.47555	14249.64782	18407.04518	13750.21192	14206.94923	13932.26425	19217.36874	13627.94583	16315.5583	9985.18441	10400.1437	10120.40375	9620.86177	9849.7574	7137.54051	7514.10651	16657.75703	18544.25989	17928.37322	20942.27606	12781.72028	16255.15117	15933.54531	15947.06437	17125.65119	17288.0674	18789.09922	19195.18855	18968.63271	16215.59596	15441.48769	15512.68933	18948.95646	20082.84762	18600.63919	19986.18159	16256.40986	20633.44316	16993.41656	18559.05018	19098.5826	18896.9502	16650.07593	16377.07014	16750.10806	16725.35743	19181.79882	14394.5423	25469.01217	17323.0673	17127.22603	18362.63377	17078.36835	20186.41625	13251.93446	15649.89004	16002.20214	15154.97403	18030.34615	17358.58448	18433.65745	18795.04406	18267.05953	16260.25991	14695.8128	15860.78155	19454.46277	19038.9177	19184.85617	20049.41988	17183.23192	20296.51945	17689.28582	17772.0853	18993.5481	19262.5351	17099.96073	15500.35642	17191.52922	16780.12816	20448.86187	15296.51639	23727.97979	18337.78562	13302.60103	11217.343	13722.04844	17650.54909	10663.39048	11348.81349	13180.24934	12482.10557	10904.52432	15491.14384	12794.29282	16063.58364	13065.40227	11889.70171	14553.81167	14313.42927	13855.31756	15542.46905	12560.20377	13855.28291	14250.05528	13574.21279	14191.89787	13316.30173	12059.56741	13655.89929	13280.19255	13650.06962	13074.59254	13257.49579	17218.27713	10843.28305	18450.43293	12355.41242	11616.35298	10767.41555	13267.12982	18067.15712	14155.1878	11422.32306	13277.21168	12063.81475	11688.67101	15371.16625	13721.92451	15295.79921	13902.58905	13657.58984	13136.48473	12312.56922	13095.20469	16322.32823	13167.71078	14369.20581	15437.06238	11304.63189	13645.14204	12650.1269	10909.24375	14587.20362	13523.88447	14170.40427	13880.36122	12582.97938	17025.63689	11608.70209	17182.17297	12834.31042	8040.79452	8167.62152
90	120	10698.65671	23300.02495	26102.85638	31288.76416	31855.6516	26649.82257	34959.84753	25734.23898	27394.09089	20028.60666	25176.01559	27373.03078	24926.27401	22386.72539	30733.43179	26721.00695	28778.11405	14938.21968	12722.332	18334.27253	26189.9168	32255.28964	30772.0403	25890.9478	35301.61163	27146.79892	25026.51462	26229.50673	33769.13768	24971.07233	36004.79922	19644.57925	21494.83758	17760.07175	17097.11947	18349.05895	16449.42397	15702.05244	34289.24032	35975.16471	33005.67655	39226.48553	25870.23273	30944.12393	29305.58741	30312.93203	33692.74576	33182.54274	34572.45176	36739.03514	35483.29201	31031.69277	28914.59671	30570.96854	34979.3132	37249.7493	35999.26051	38504.53966	30401.57104	37827.28104	31002.61059	35073.38622	36160.01872	34860.59939	32322.81256	30744.95744	31816.31488	30862.06617	39883.86091	27168.40058	43586.06761	32610.71978	33770.12593	34232.06783	34066.63458	38216.34441	25327.24211	31315.59009	31255.23108	28888.3487	34115.86537	34390.52738	35098.49769	37220.35197	34815.52783	30553.64093	28417.30239	29963.64564	35707.33746	37337.43037	36556.24026	39935.83839	32691.86628	37062.65609	33632.76213	33876.25969	33061.10082	36504.90052	33157.31199	29748.42705	32139.21279	31961.39788	37903.71064	26491.17291	45852.52738	33065.19533	26259.26365	22236.29708	25497.08472	33100.21515	24537.78781	21875.65696	24304.59424	23926.90497	22012.97851	29526.47714	24450.29357	30681.52845	25607.95209	22845.52887	27175.84642	27272.09555	26143.3879	29090.67959	25085.60955	26204.99883	25873.55955	25714.49187	26476.37203	24845.76996	23760.41538	25560.16763	25613.94289	26632.07763	25148.49498	24900.15258	35128.21534	22013.40825	32158.50292	23943.23	22646.63286	19293.97559	25075.48824	34299.57653	24545.54504	22508.38009	25869.45016	22779.23418	21166.24216	30032.99875	24425.48472	30785.20269	26178.33163	26542.91823	25916.38032	23967.24223	24534.53449	31129.28644	26112.28962	28649.51202	29619.58863	21993.57728	25091.31222	24254.81302	19126.76109	27674.90886	25940.99312	27357.02255	26452.92041	24078.45898	31870.21696	21785.02572	33789.8044	23852.90492	15166.16914	15356.77666
120	150	14892.99057	31748.76044	37671.49048	45635.83292	45486.1356	38048.10337	51190.20255	36577.17806	37129.73828	29545.5736	36235.62485	38476.7542	37011.19308	31060.29186	50053.19582	38437.93006	48664.27072	22183.40902	18633.74249	29559.13942	37543.20136	47120.27229	43530.08951	39677.6391	51273.23313	39412.87431	38807.59982	36798.46396	44500.20254	37422.33802	46875.00859	27592.64913	29624.85966	25184.44272	24735.61115	23628.56633	17641.53719	23651.53266	47679.38947	47319.48263	47602.21814	54996.94606	35154.85956	44986.70268	42416.68536	43934.17494	46584.05173	46595.69526	48525.48773	52063.37699	49266.25513	46108.24567	40490.77203	42234.41765	49553.17158	53350.46421	50622.63749	55575.28278	43373.16098	55147.37384	44352.11748	50153.24717	48306.56231	50312.92782	45687.92479	43058.40013	45337.99424	44627.91882	54956.41006	38220.40842	61240.27125	45257.16173	45370.94568	46438.30008	47402.40927	53900.33505	35426.07192	44529.49638	44373.60183	43108.32829	46570.72069	49397.11181	48855.84237	52296.27042	49147.9571	44821.02811	38699.20289	43005.15108	51489.73424	53760.74898	51817.45813	55297.24188	45435.49456	52510.58647	46942.34532	48474.53402	46479.5946	51724.68397	46062.93074	42657.47813	45721.63304	45007.41546	54871.68229	38716.71284	60338.09426	46727.6004	36843.92718	28786.00388	36351.71709	47603.69629	35091.32859	31807.88848	35018.1088	34443.44928	30804.27745	42008.22816	33598.24217	43602.41721	35845.50998	34406.18998	40028.3609	39073.81308	37571.62907	40533.23765	34475.63535	37499.75226	38053.80203	36753.11131	38214.85316	36967.69316	31419.42154	36362.15104	36060.73264	37365.14952	35961.1544	36134.83846	48461.61765	31466.10121	46987.58204	34364.46239	30185.08338	26579.89104	35553.79677	48178.69019	35286.41276	32901.47597	36138.49965	34073.68764	29411.15661	43307.12976	34440.81329	44368.12027	35865.53578	37665.5812	34984.85009	33404.27376	35686.45498	44524.57013	36845.64896	39955.61424	40974.48157	31071.92599	35574.45751	34507.04826	29174.34448	38829.93265	36479.08478	39518.91575	37215.41998	33919.70444	47323.26584	35473.15522	45905.69942	34231.55109	21465.66329	22068.54458
150	180	16603.39311	33831.98169	42598.36258	51728.76958	52260.12348	41748.4876	58918.75373	41522.20376	43498.07645	31969.66769	40767.99054	42452.04825	43652.45813	34681.96594	54831.30046	42506.73823	51033.90778	24616.63412	20141.47115	30701.63571	42279.47399	52654.2867	48839.92327	44042.60226	57204.37479	42541.44085	40432.18469	42037.82769	50021.46099	41999.82417	53251.97266	27243.05589	26583.41797	28685.20549	28245.44098	28148.43599	22653.80531	25270.93705	52659.34791	52715.6049	52236.20138	61931.18013	40054.46863	51027.85505	47226.07576	50301.9386	51734.39881	52926.85052	55071.82072	58425.52126	55181.17135	50798.96987	43230.21911	46821.90734	55636.51636	59739.29399	57473.9763	62422.37804	47498.63232	59652.19924	49419.09969	55069.76373	53298.64671	55875.44437	50132.12387	47975.37377	49757.36562	49800.95844	60343.46606	42694.29317	64172.80615	50183.19476	50345.1171	52096.6478	52132.55118	59464.89501	40779.78073	50048.3549	50286.27855	48490.10668	53633.58803	54945.43004	52884.82791	57941.48566	53829.46068	51051.41009	42861.52488	48113.91413	56044.81701	59626.8428	57941.21034	60791.62223	49964.64102	58455.25417	52599.95101	52574.41752	47898.63141	57719.75157	50362.51726	47004.1255	50759.63382	49665.29226	62342.72757	40896.53265	67770.87071	51647.212	40907.54118	33798.79666	40924.13549	53472.9013	38597.50547	35541.12933	39552.44627	40110.30814	33959.97152	47666.06219	38827.34623	48983.74906	40904.07073	38270.67316	40809.49839	43509.5727	42113.72643	47486.69147	37460.33897	42613.62555	41776.74367	40989.32819	43018.41158	40563.78052	36365.07614	41037.62617	40397.21295	42198.82448	40321.19391	40996.72933	50505.6525	35346.5334	51513.16998	38989.63533	34097.42653	30838.02943	40492.53368	53851.54773	42492.11034	37309.35478	41126.48488	38684.40556	32737.28166	48317.93706	38083.15292	49328.10872	40251.31013	42489.63598	40231.98062	38038.87011	39694.25665	49112.97978	40020.16198	44660.02134	45329.50585	34803.13133	40056.42611	38163.8387	31464.78338	43916.04938	40418.67973	43427.53174	42453.1687	37957.40772	55695.56664	38864.53318	52334.12637	38546.41897	24120.77015	24440.83286
180	240	16973.14472	34759.52141	44324.94695	53259.81841	53667.99849	44975.86849	60866.74199	44388.56357	46688.98527	32021.57763	41697.29857	44180.19545	43573.25674	34688.14879	56605.84314	45049.07096	54741.1678	23528.85111	20171.38296	30710.91163	43317.72989	54645.0091	52815.51074	46168.25816	60672.39363	46281.18635	41610.46031	42331.22391	53384.03005	43930.33121	53768.91563	27274.83956	27749.00725	29748.52499	27439.53058	27845.24001	23644.54337	24434.37641	55846.50691	54079.46774	54249.50639	64448.05217	41085.10734	53117.95348	49823.25259	52243.56591	51658.29279	53705.85788	57097.4906	60066.36576	57271.32374	53215.32133	44551.59771	47483.35718	57523.61734	61238.02959	59141.63512	62767.14998	49577.45534	61033.08433	50934.59296	56293.22778	54353.71011	57769.53824	52197.26766	49047.8955	51620.95926	51258.49293	61945.99458	45587.42423	66588.35874	52116.78002	52753.81979	52638.45863	54085.72839	60786.53034	42405.45095	52500.53708	52435.50296	50102.0749	53822.1525	56355.09838	55897.985	58789.59411	56180.84101	52911.30829	45504.76591	48681.02544	57743.59963	61673.80463	58963.36991	63911.89222	52094.05171	58986.0479	54034.36632	54689.41775	51234.88029	59395.14995	52499.95828	48155.70981	53058.81649	52262.78552	62235.00595	41971.13129	64146.1455	52743.70218	43754.30509	34814.811	42329.95667	56391.37314	42847.38788	37308.54716	41081.11141	41780.94062	34005.74975	48448.57511	40847.45197	50439.09093	43051.91603	40124.74998	42797.38984	44655.39271	43400.46199	47707.30983	40427.91602	43700.42649	43611.97706	41840.53114	43965.5386	42485.43422	37384.9528	43193.30764	42682.44997	43746.00156	42142.5846	42221.73233	58238.85351	40201.94965	51739.59616	41356.04017	35566.57442	31595.04801	42332.3032	56434.84656	43359.0734	39109.83629	43097.09557	39206.87745	34551.74818	49649.24291	40644.86501	50890.92427	42499.57228	43818.06207	42587.53851	39405.82697	42081.08072	49486.90779	42588.83301	47151.839	47041.61943	34977.48862	41086.35444	39740.03603	31868.63933	45629.49479	42487.68694	44706.82154	43992.43724	39977.80504	53070.33324	39339.5965	50970.4025	40312.55675	25459.1051	25254.14752
240	300	17190.57256	32450.00273	43817.93455	53059.16618	53069.87874	45408.84082	62038.81873	46369.44532	46763.44317	30732.59715	41850.87924	42330.46924	44586.44093	35004.10838	57983.19623	46455.31455	54841.27615	22612.96608	19068.48544	31964.44587	43708.34267	54686.82651	52822.56248	46482.31636	61161.08767	48023.61789	41262.64536	43237.64425	54658.73363	45666.84693	52665.81406	25103.49336	28128.78116	28486.45083	27115.52444	27084.05618	23641.38878	26357.34358	54382.56695	53315.59941	53364.16612	60927.68381	40447.62168	53006.70635	48604.06656	52234.9755	52258.53283	51926.46619	55954.74905	57608.20721	55763.91932	52892.44929	45810.671	45747.63785	56145.75035	59183.47702	56598.63856	61676.85314	48846.02642	58973.50002	50316.89278	54975.85908	54060.05392	56846.5341	50659.53145	47540.38822	51251.66026	50186.64078	60345.6418	46281.76266	63752.87476	51275.03554	52538.38354	53133.6343	53320.11335	59110.85188	41861.70179	52368.54746	51125.93297	50296.98108	52854.28924	54686.17744	54837.19971	56015.81888	55731.48854	52701.86162	46088.87604	48027.12756	56209.22923	59594.92696	57343.04974	61729.33316	50386.93232	57850.0167	53276.61576	53111.50471	49843.80938	58591.79356	51921.21199	47225.43653	52159.62077	50947.20344	62487.93461	42221.8333	62601.77924	52541.5835	43457.04556	34755.58705	41847.54218	52865.6695	42794.32579	37685.67993	41232.60699	42995.1625	34827.29582	47644.95156	41616.21877	48756.96996	42494.98054	40565.02156	44394.46326	44151.70703	43486.98695	48108.30555	40335.31597	43146.85157	43362.2545	40986.80346	44284.08009	41866.7759	38011.04411	43211.8221	41944.54888	42822.99457	41947.93305	41720.48222	55393.20593	39978.1173	51084.53555	41239.83996	36941.84945	33461.06859	41288.8044	54521.83186	44785.16168	39814.98332	41885.33971	41038.39008	34538.53607	48131.09922	40784.52081	49205.35069	42339.74076	44753.1962	42681.47353	39239.09166	40944.93512	50788.64766	42501.19595	45722.53412	46488.37223	34828.12579	41271.72031	39399.20605	32061.84852	45535.73113	42105.4325	43950.69659	43591.25073	40054.46315	55523.11064	40124.54936	49393.69456	40826.52704	25901.16749	25973.46624
300	360	16787.83579	33332.52554	42260.73837	50601.45828	52495.99779	44046.22983	60460.89469	45923.65598	44700.38136	29982.56834	40866.41152	42435.02376	43899.03323	31245.15217	58268.85262	43628.92989	53434.69022	20922.42142	19057.23719	30127.06342	42400.79008	52085.15137	51907.32478	44606.79935	59296.97195	45444.11534	39620.433	41642.12717	54679.72795	44214.6227	47947.25703	22798.19798	25115.08241	26457.27079	25556.55169	26332.31084	22665.64009	26203.80412	52263.57522	51503.26953	49853.08249	57855.99156	40270.8475	50553.68551	46719.50716	50066.36515	48711.56537	48923.94809	53433.44162	52754.60693	53807.55421	51268.53797	43616.68192	43505.69302	53291.26403	57398.2342	54118.80085	56621.37054	46425.27566	57184.99027	46971.36569	51758.69038	51782.38251	53755.53696	48348.59715	44977.38634	48679.69276	47611.26283	59066.23218	44737.95367	57245.77317	50360.67311	50256.82755	49146.63937	49594.37487	55416.06474	39562.56199	49829.76872	48903.37853	49130.60231	50182.32586	51771.38389	51841.27251	52006.11278	52949.51531	50464.16115	44300.71123	45349.34537	53578.43956	57319.46226	54117.74158	56575.7902	48068.41073	56024.9073	50454.55004	50794.40706	48899.51589	55444.40003	49056.69606	44780.30506	49984.95527	48926.75892	59604.44358	40805.06799	62199.74057	49672.67472	41749.23021	33510.50111	40499.55844	51295.44459	42312.79699	36489.72195	39376.20016	40895.90358	33382.75233	45132.90346	39912.45526	45182.0364	41991.74802	39878.36609	43476.58452	42022.03589	41823.34305	47508.24989	38543.64115	40844.8838	42072.67477	40008.7866	41952.05106	40278.35688	36224.70693	41806.84722	40523.46846	41478.92461	41119.7918	40152.93379	55466.62419	40219.03935	46909.81908	40702.55446	35267.89263	31818.97699	39806.7067	52359.11864	41887.74051	38438.94072	40381.39062	39945.55991	33576.27559	45661.7062	39282.47962	46478.64338	41473.92925	42966.66266	41605.09252	37920.44461	39525.93399	49355.58137	41033.98165	43224.23864	44440.29342	33704.47836	39967.38018	37994.48578	32576.87834	43837.3062	40720.42588	42178.15344	42287.88262	38955.02934	52538.11217	40378.36169	49021.24305	39851.36746	25958.92159	25788.99456
360	480	15610.34146	30608.0894	40576.4348	46560.39754	49306.10605	41009.3803	55470.71272	45090.02653	41611.22962	26260.93572	38262.30954	38290.73467	43380.0097	30146.89778	50534.07965	43180.35112	47493.54755	18817.89069	18108.41696	30866.70851	40328.41142	47583.77742	47789.39205	42144.03778	55097.04619	45607.44239	38342.77724	41784.50955	50608.18072	41682.36773	48568.38789	21611.00467	23724.6055	26302.60133	23338.45409	23372.70785	21681.05661	24874.54344	47549.46025	46185.44725	44958.85189	52131.89167	38176.84539	47329.28465	42533.56704	46969.24007	43448.72086	43847.02955	49669.20912	47763.93734	49039.55021	47015.98457	40354.21788	40157.53683	48527.12635	51803.26134	48416.0801	49840.35306	42213.66256	51318.93883	42347.56683	46716.62058	47270.31293	48649.35506	43712.81992	40041.34637	45009.01858	43527.48908	53078.56558	42333.12398	52071.81754	46077.10897	46890.52372	45320.27023	44887.37713	48990.10886	37233.17875	46685.71248	44624.19325	45500.39392	44409.99501	46626.15033	48447.75313	46581.81653	48425.37767	46599.44438	40496.04838	41415.31191	48734.25265	51389.695	49856.69172	50392.56266	43120.59466	49544.98323	45429.7836	45233.48823	45470.91265	50006.25462	44702.06087	40368.23068	45572.64992	44688.52495	53100.99406	39385.89682	52201.2621	46904.2683	38984.61177	32162.19671	37573.37085	46292.29686	41108.49549	35247.33417	37091.30618	39679.06494	31354.89871	41011.65011	38152.03245	40869.18686	38446.62283	37474.70708	39092.23598	40098.68338	39790.55183	42976.67768	37364.59947	37077.53878	39044.55364	37174.50428	38701.5328	37286.79305	34952.98929	39268.21573	37955.89765	38059.69537	38422.81092	37857.49841	51601.25435	38072.09652	42520.20249	38644.26667	33646.04771	30981.68747	36643.22494	46255.89194	42456.37699	36670.28045	38057.7175	38345.97524	31250.68959	41967.98586	38068.16358	41584.13172	38846.21359	40853.58698	38746.0874	35905.75677	37108.04948	45319.36693	39564.99603	39414.07763	40850.91929	32509.33345	37088.74979	35238.44017	31036.083	40955.67951	38573.83801	38645.83168	39899.51785	36711.73448	49474.55724	39376.37595	44008.70547	38282.54049	25561.64004	25395.61829
