frame_start	frame_end	Midbrain	Pons	Medulla	SCP
0	30	16.2299	20.7721	59.25677	6.6381
30	60	3801.00476	3223.17598	2980.73166	3159.39584
60	90	14662.29355	13225.92554	13017.2674	13099.60158
90	120	25565.67795	25027.37996	23246.36759	21858.99478
120	150	39041.28648	35956.29644	32868.85108	38008.45963
150	180	43018.32827	40696.93538	37979.88981	44932.58109
180	240	44358.2481	41992.65517	37283.48611	42767.48024
240	300	45504.17759	42338.18584	37664.42354	39769.48091
300	360	43971.7317	40733.83906	37561.80036	39345.00861
360	480	41622.38875	38535.28431	35398.05776	35470.67286
480	600	39014.97224	35517.21399	32293.61411	32789.05036
600	900	33064.8206	31142.48841	28198.60711	26866.06618
900	1200	27437.66618	26293.20915	23899.32958	21028.67889
1200	1500	23207.16901	23025.47492	20291.03212	17502.7475
1500	1800	20051.92661	20264.61687	17719.16125	15018.7635
1800	2100	17111.40651	18337.4774	15308.02838	13384.28608
2100	2400	15241.2492	15923.81312	13158.36195	11944.31796
2400	2700	12937.59771	14036.93021	11555.09171	11012.57388
2700	3000	11952.84191	12560.5844	10611.04376	9392.89844
3000	3300	10737.72848	11371.57791	9211.46545	9444.07553
3300	3600	9748.29588	10601.32887	8644.58487	7868.23381
3600	3900	8647.02484	9368.89151	8248.55149	7930.85337
3900	4200	8436.58381	8796.61451	7038.87114	7341.16822
4200	4500	6907.48531	8160.84245	6552.13838	6898.27478
4500	4800	7356.91962	7641.18474	6618.99933	5559.79259
4800	5100	6627.39145	6845.3663	5978.56777	6066.22895
5100	5400	6427.45179	6909.21491	6198.57917	5192.03526
5400	5700	5773.07923	6284.23749	4776.5408	4136.07432
5700	6000	6864.16993	6111.52499	4212.63395	4258.08675
6000	6300	6045.95271	5953.12014	5214.46124	4628.8898
6300	6600	5036.13078	5919.18695	4700.3054	3060.98831
6600	6900	6417.70823	4891.46699	4617.76823	4086.74837
6900	7200	5223.62244	4238.84734	3417.74152	2809.67795
