frame_start	frame_end	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior	ctx-lh-bankssts	ctx-lh-caudalanteriorcingulate	ctx-lh-caudalmiddlefrontal	ctx-lh-cuneus	ctx-lh-entorhinal	ctx-lh-fusiform	ctx-lh-inferiorparietal	ctx-lh-inferiortemporal	ctx-lh-isthmuscingulate	ctx-lh-lateraloccipital	ctx-lh-lateralorbitofrontal	ctx-lh-lingual	ctx-lh-medialorbitofrontal	ctx-lh-middletemporal	ctx-lh-parahippocampal	ctx-lh-paracentral	ctx-lh-parsopercularis	ctx-lh-parsorbitalis	ctx-lh-parstriangularis	ctx-lh-pericalcarine	ctx-lh-postcentral	ctx-lh-posteriorcingulate	ctx-lh-precentral	ctx-lh-precuneus	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralmiddlefrontal	ctx-lh-superiorfrontal	ctx-lh-superiorparietal	ctx-lh-superiortemporal	ctx-lh-supramarginal	ctx-lh-frontalpole	ctx-lh-temporalpole	ctx-lh-transversetemporal	ctx-lh-insula	ctx-rh-bankssts	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalmiddlefrontal	ctx-rh-cuneus	ctx-rh-entorhinal	ctx-rh-fusiform	ctx-rh-inferiorparietal	ctx-rh-inferiortemporal	ctx-rh-isthmuscingulate	ctx-rh-lateraloccipital	ctx-rh-lateralorbitofrontal	ctx-rh-lingual	ctx-rh-medialorbitofrontal	ctx-rh-middletemporal	ctx-rh-parahippocampal	ctx-rh-paracentral	ctx-rh-parsopercularis	ctx-rh-parsorbitalis	ctx-rh-parstriangularis	ctx-rh-pericalcarine	ctx-rh-postcentral	ctx-rh-posteriorcingulate	ctx-rh-precentral	ctx-rh-precuneus	ctx-rh-rostralanteriorcingulate	ctx-rh-rostralmiddlefrontal	ctx-rh-superiorfrontal	ctx-rh-superiorparietal	ctx-rh-superiortemporal	ctx-rh-supramarginal	ctx-rh-frontalpole	ctx-rh-temporalpole	ctx-rh-transversetemporal	ctx-rh-insula	wm-lh-bankssts	wm-lh-caudalanteriorcingulate	wm-lh-caudalmiddlefrontal	wm-lh-cuneus	wm-lh-entorhinal	wm-lh-fusiform	wm-lh-inferiorparietal	wm-lh-inferiortemporal	wm-lh-isthmuscingulate	wm-lh-lateraloccipital	wm-lh-lateralorbitofrontal	wm-lh-lingual	wm-lh-medialorbitofrontal	wm-lh-middletemporal	wm-lh-parahippocampal	wm-lh-paracentral	wm-lh-parsopercularis	wm-lh-parsorbitalis	wm-lh-parstriangularis	wm-lh-pericalcarine	wm-lh-postcentral	wm-lh-posteriorcingulate	wm-lh-precentral	wm-lh-precuneus	wm-lh-rostralanteriorcingulate	wm-lh-rostralmiddlefrontal	wm-lh-superiorfrontal	wm-lh-superiorparietal	wm-lh-superiortemporal	wm-lh-supramarginal	wm-lh-frontalpole	wm-lh-temporalpole	wm-lh-transversetemporal	wm-lh-insula	wm-rh-bankssts	wm-rh-caudalanteriorcingulate	wm-rh-caudalmiddlefrontal	wm-rh-cuneus	wm-rh-entorhinal	wm-rh-fusiform	wm-rh-inferiorparietal	wm-rh-inferiortemporal	wm-rh-isthmuscingulate	wm-rh-lateraloccipital	wm-rh-lateralorbitofrontal	wm-rh-lingual	wm-rh-medialorbitofrontal	wm-rh-middletemporal	wm-rh-parahippocampal	wm-rh-paracentral	wm-rh-parsopercularis	wm-rh-parsorbitalis	wm-rh-parstriangularis	wm-rh-pericalcarine	wm-rh-postcentral	wm-rh-posteriorcingulate	wm-rh-precentral	wm-rh-precuneus	wm-rh-rostralanteriorcingulate	wm-rh-rostralmiddlefrontal	wm-rh-superiorfrontal	wm-rh-superiorparietal	wm-rh-superiortemporal	wm-rh-supramarginal	wm-rh-frontalpole	wm-rh-temporalpole	wm-rh-transversetemporal	wm-rh-insula	Left-UnsegmentedWhiteMatter	Right-UnsegmentedWhiteMatter
0	30	9.17537	42.69766	12.21442	13.15658	7.42852	18.60441	8.75998	10.29833	2.77665	10.50376	12.73758	6.44544	0.81931	11.49446	35.93093	2.4033	0.12535	11.22679	9.56201	8.22232	18.65367	15.27786	5.78451	20.03983	3.63133	2.934	5.14402	13.07398	2.17537	2.53433	0.20642	9.82318	0.23746	21.85282	3.14811	9.29944	5.28251	37.19181	7.93369	21.46876	9.22519	5.39181	6.89186	25.0915	3.81286	10.68273	7.52766	10.24279	12.20544	3.74623	13.24732	16.57751	29.2434	12.36707	6.31611	8.94903	6.48372	6.75855	9.71121	20.33013	6.15516	5.67583	26.03542	10.1703	9.2085	8.68101	10.48544	8.92888	5.04925	22.98656	13.10629	4.99336	13.11351	14.44472	11.00291	8.78972	9.21032	10.44883	9.33215	9.20186	14.94439	7.12497	43.19251	3.37962	9.89982	13.68183	1.49827	6.28693	11.55997	9.95875	20.16715	4.37247	4.64241	12.39457	12.35071	12.42836	22.30253	13.59581	14.92612	5.40634	9.97474	8.02877	23.88058	10.55598	8.75854	4.20533	5.79936	8.10507	16.2216	3.1368	4.07221	20.16751	3.63009	10.41814	11.04164	5.81956	41.74172	4.07501	18.42557	35.99808	19.39301	12.55743	6.73878	12.24922	14.93008	3.74753	9.8482	31.6562	10.99605	5.24333	18.83871	8.00804	9.62288	5.97832	10.75406	5.24657	6.97448	5.32585	9.08821	4.81924	10.68837	10.26156	20.60325	6.34175	6.7116	13.57612	15.56897	10.6034	13.89488	6.17361	28.02144	4.33423	9.52793	14.50888	2.71477	4.54266	10.82296	6.97477	13.5088	5.35266	3.45136	8.09169	12.50866	14.66981	20.38904	14.07397	20.62554	5.19708	14.20075	6.59019	11.96185	5.81919	23.83599	7.38506	11.42791	12.03313
30	60	768.53572	1702.85517	2001.27528	2394.24483	2574.90143	1687.15779	3108.49873	2218.4636	2219.29057	1804.89133	2305.39537	2251.61993	2351.72802	2126.13095	2589.26796	2450.80386	2750.81283	1189.04168	1014.11052	1131.55235	1975.27725	2500.87311	2608.57041	1954.30689	2882.47811	2053.12464	1902.94196	2314.29234	2720.20873	2335.15541	2095.99786	2059.70886	2188.1369	1534.15276	1617.93015	1680.06462	1471.28558	1722.90444	2737.73287	3408.32791	2274.68237	2817.90285	2416.47367	2254.03154	2323.64056	2304.56669	2672.21547	2179.1587	2912.24098	2250.02515	3178.43269	2381.59342	2530.74386	2462.06573	2891.18482	2975.81842	2870.48474	2507.02981	2258.75185	3279.10121	2510.32024	2658.66648	3674.07617	2737.13081	2610.29687	2281.51953	2753.94448	2537.19748	3378.10707	2206.54185	4963.04066	3397.62531	2441.50967	3279.53299	2842.07044	2812.88249	1773.84309	2350.93625	2437.70144	2201.58167	2980.58616	2369.89271	3136.73231	2733.03528	3114.86027	2481.06346	2006.36491	2396.95135	3222.86295	2874.31146	3136.85975	2690.50502	2550.73547	3156.76091	2675.66463	2687.99039	3048.3055	2958.18185	2596.27642	2217.8965	2930.31684	2792.87789	3232.06448	2825.24832	4187.52899	3238.89384	2201.09584	1858.39911	1912.14256	2506.1678	1908.95796	1476.86018	1853.32483	1885.18209	1662.91331	1874.00243	2053.66016	1895.96794	2348.00382	1842.36683	2313.68295	2154.00579	1966.30611	2046.30322	2075.30733	1819.08681	2031.61619	2062.08743	2199.05287	1834.25535	2191.12242	2054.25036	2072.96148	1899.91774	2064.78735	2007.06442	3277.12126	1793.07511	3280.95663	2092.89915	1791.47036	1885.79183	2177.01296	2349.53172	1934.58049	1726.97856	1841.95544	1743.22313	1776.45181	1968.41638	2108.85566	2092.57379	2271.67081	2170.91588	1779.09288	1701.88458	2170.95096	2433.46287	2159.57568	2236.07418	2101.89125	1883.83494	1903.77487	1963.93488	2103.99895	2265.94525	2005.70622	2106.25145	2325.3067	2088.15864	3237.77536	1880.11367	2789.46619	1923.23911	1265.5267	1232.75008
60	90	4410.0175	8849.11088	11650.19981	14049.66001	14325.99517	10549.86495	14765.44624	10847.35205	11835.89814	9290.5295	11208.71273	11165.61339	11272.14816	11603.815	13532.0537	11197.28669	11180.46378	7399.48331	5107.16019	7401.92233	11673.44324	14486.7202	13316.40775	10517.79291	14046.78299	11530.51427	11403.74746	10916.06867	13155.02852	11204.07618	15562.77705	8119.8469	10728.77405	7934.50792	7888.65962	7300.42563	5555.77988	6675.27983	12858.70369	15117.20716	13485.30169	16086.52532	11222.24901	12457.37555	12127.50096	12666.9869	14282.19741	13067.18252	14608.72846	15374.36884	14466.60521	12787.29448	12091.41669	12403.15098	14968.64512	15630.23071	15155.69174	15208.00486	12311.20417	15968.7122	12676.66614	14364.94247	15284.22321	14305.4481	13362.35666	12503.93223	13581.58617	12750.0747	14592.58149	11620.97629	19201.05558	14197.56607	13258.85676	13877.70229	13392.60503	15596.00121	10251.89332	12586.48117	12758.59431	12854.50901	15317.16782	13652.5819	14876.409	14839.97627	14984.7859	12790.07315	11243.11812	11868.93178	15572.4095	16169.74783	15115.93419	16009.21789	13596.74129	15652.54209	13874.43828	13657.27007	14974.63212	15076.69759	13795.64245	12125.05352	13652.83748	13436.40209	15012.81253	12922.75369	18455.61861	14450.32911	9808.37312	9067.50062	10413.61454	13536.4351	10232.71934	8688.13456	9783.92383	9887.12221	9152.28622	11695.45902	9746.72659	12974.06844	10324.7387	9574.62809	10794.88817	10756.94808	10845.37862	11892.86554	10338.38008	10385.27816	10865.80051	10812.82018	10760.60403	10332.64808	9849.84338	10325.88096	10354.56831	10581.68762	10470.37889	10227.48796	13876.74114	8722.39406	14015.67105	10162.80397	9224.97713	7640.80004	9987.16629	13421.26075	8499.13342	9540.86067	10522.80527	10037.25688	8994.94613	11530.08026	10110.57935	12375.1345	10749.31222	10190.5478	10615.48726	9681.43971	9943.27656	12959.4381	10792.86288	11500.60972	12086.76398	9027.8874	10203.80764	9878.92861	8486.6343	11251.44822	10778.19145	11181.90332	10741.18964	9586.42161	13794.88386	9843.21276	13295.73679	9898.50614	6424.83167	6449.16113
90	120	8294.00174	18237.55872	20976.56701	25785.24896	25488.62001	20439.07726	27636.0079	19835.02336	22513.99104	16914.99477	19680.75666	22366.53403	20754.38616	18793.81641	28112.95473	21074.93754	22486.64852	12228.30688	9833.97793	15201.75363	20872.25704	26543.93857	25059.79173	21393.92455	26506.49804	20847.93972	19608.92646	20878.62981	24063.555	20265.47409	23152.4627	15883.80275	14559.40811	13281.95625	13332.48569	13694.86553	10750.84398	11741.5017	26525.75993	26134.28783	24965.96315	30301.49935	19227.52806	23869.61206	22956.49894	23555.19514	24940.81681	25071.87427	26484.98966	27561.21995	27258.3385	24163.42993	22330.24791	22643.64518	27278.67644	29454.04403	27010.47673	28846.20477	23337.36118	29895.51538	23354.35769	26266.25226	26175.02186	27099.03847	24651.40817	23983.45039	24303.55461	23927.61207	28985.86961	22000.85783	33694.28529	25175.40595	24350.52506	25895.30323	26265.93515	29445.04019	19845.96453	23555.98749	24516.18202	22540.4115	26293.03983	26303.53862	26885.72276	27518.81506	26873.67709	23794.43362	20179.74703	22926.46697	27434.63564	29548.23972	27754.04651	30507.58844	24400.80257	28427.8987	25913.58172	25789.14502	25003.02503	27981.18861	25177.75747	23249.73215	25223.38684	24925.88104	28721.98559	19335.26743	33532.20296	25393.52866	19789.4561	15168.33437	19198.03463	25912.591	18870.67573	16810.18043	18958.09869	18572.1739	16153.61662	22390.43526	18475.43635	22683.35092	19510.91801	18393.93692	21962.42449	19897.82434	19711.70018	22547.84802	18106.58539	20322.1842	20985.48314	18660.40951	20334.33057	19363.93636	17615.88193	19521.55917	19404.21196	20168.16025	19362.46553	19241.54951	27603.18683	18441.10775	25455.11281	18439.64887	16198.32595	14843.15585	19008.76555	26766.64417	19516.04638	17959.25872	19764.74902	17948.80573	16050.36335	22277.92787	18805.68243	23435.76	20297.66494	19674.80654	18584.94708	18622.73717	18701.75752	24258.19918	19069.7895	22584.04689	21562.55425	15790.26571	19079.49697	18496.71255	14602.82239	20569.5778	19729.6782	20846.80981	20606.19012	18360.69095	26907.51421	16756.28927	25935.37973	18910.73489	11661.76478	12119.0297
120	150	12294.12669	24995.96706	31880.22837	38838.68013	38654.51939	30520.81851	42178.25334	31429.66226	33225.99187	23273.28377	29897.87587	31302.60522	31084.89656	26224.97071	38882.60265	31314.15334	37568.0681	18581.90634	14907.62146	21137.22875	30739.20119	38448.80673	37667.28007	31860.58153	40719.31971	30584.32559	28817.63736	30729.69542	36898.93365	31194.30164	38365.43984	21588.64479	23774.04754	18590.4946	19705.48603	18700.06134	17120.58887	17624.4652	36893.77672	38691.88949	37436.8391	44544.8736	27750.90452	35246.05348	34021.05731	35148.85266	36051.52872	37385.41719	40949.77381	41081.32374	39322.5749	35861.05912	31539.44267	33174.78325	40802.50328	42810.80484	39985.56667	40688.28398	33943.19074	43187.67533	34920.29608	38776.82049	39182.46917	39955.22389	36649.76532	33962.60634	35778.05359	35647.19178	42368.73681	29430.01177	46588.70135	36675.59392	36844.86088	37492.42205	37569.40553	41710.20319	30612.00718	35134.09235	35511.76934	34103.98246	37988.04535	38734.96828	38582.69953	40390.63641	39345.5039	35856.39396	31464.42443	33781.4378	41173.10018	42889.12557	41961.32082	45262.35653	35815.36856	41196.33501	37927.67411	37624.91235	36374.00535	41725.3599	36919.79537	33781.05441	36920.79335	36691.60163	41857.41401	30226.55226	49027.37222	37307.8979	28522.54219	23646.50229	29073.52824	37766.30866	27872.36043	24392.02833	28386.12721	28329.45963	23322.95925	32904.39072	28717.2465	34216.48357	29049.47972	27128.33544	30077.67347	30054.06701	30003.40309	32866.06855	26843.5455	28644.57359	29510.22269	29293.81258	30081.74232	28420.78772	26449.64904	29020.09415	29003.21044	29942.03224	28490.40435	28698.21283	40788.04557	23874.92892	35159.59527	27820.60615	25115.77867	22583.77369	28272.02288	38082.90067	28106.90526	25690.93804	28454.45057	26635.77397	23328.22505	33170.50676	28089.26229	34955.25945	29592.25036	29418.79707	28473.9162	26904.66269	27891.33581	35813.95123	29845.19882	33068.25177	32059.25553	24468.59159	28614.934	27407.97358	22154.55206	30988.0353	29398.91016	30736.42299	30595.37471	27122.57144	36160.8398	24361.05571	38564.36529	27692.64336	17319.92675	17595.36097
150	180	13895.04066	26162.3387	36080.2225	44423.18732	44692.35689	35800.16845	48890.01915	34891.69326	39868.5694	26761.40748	34036.42521	35581.07222	35536.73526	29202.93782	43352.92487	36281.47607	43781.6498	20211.54262	16760.70898	25217.06852	36173.28763	45683.36911	42975.17023	36240.43455	47497.10422	35620.73283	33784.23481	34232.17607	42768.54249	34845.83566	42607.40273	24800.20451	21558.77056	22475.46839	22196.70571	21214.28639	19177.93969	20935.17904	42508.37482	42661.23524	42912.41457	50084.36971	33684.19486	41814.11823	38655.40923	41715.99737	41312.54181	42740.60108	45969.1525	46799.75613	44594.77319	42158.78327	36776.57563	37834.99499	46486.14337	51039.14546	46971.1515	50308.72462	39095.53704	47486.01223	40444.33265	43852.44809	43974.93582	46110.00743	41730.56432	39282.31759	41174.19398	40088.11655	48812.41082	35480.94909	52734.38823	40690.27838	41537.02426	42746.13646	45230.78181	48208.16253	30966.64956	40821.35601	42189.43427	39843.25188	43312.87931	45274.79225	44449.81765	46408.14484	44904.12301	41571.5729	34554.2636	39278.62905	46453.42675	48454.00433	48087.72992	49739.76155	41425.30633	48579.90849	44096.39345	44207.96036	42539.21425	48428.78245	42243.93527	39512.26009	42082.71297	42080.30825	50134.60886	33274.79025	54508.87858	42439.83283	33705.45627	26919.7035	33173.24791	43688.74657	32892.25471	28606.82301	31874.0821	33122.55241	26499.35669	38441.61089	32437.49431	38687.99673	32541.72131	31895.86459	37059.96278	35191.9176	34761.48523	40579.67825	32882.15316	34548.67635	33730.33078	32247.84775	34927.01387	32668.04449	29603.0356	33889.71765	33028.19131	34168.01639	33372.99949	33640.93523	47772.49455	30542.66505	41065.56052	31880.00319	27767.94456	25060.8561	33235.98635	44834.81778	31608.00423	31030.72909	33242.0491	31971.76529	28223.23643	38869.46964	32162.4967	40579.90823	33622.53968	34582.31889	32585.94664	32169.88172	32320.89967	39970.9439	33814.75996	37932.62534	37242.2741	29184.09089	33117.83831	32236.86315	25982.24882	36284.25377	33517.37869	36243.67777	34720.73464	31047.54803	46352.44025	31189.28771	43693.1294	31603.50186	20040.1093	20338.77027
180	240	14355.56718	28885.87575	38168.80525	46082.93592	46378.23975	37545.10912	51022.28894	38947.01548	37434.7135	26625.31416	34626.98888	35666.32769	36467.45725	29004.54119	46155.04798	37748.36043	42039.28957	20561.72992	16951.51885	25321.0198	36596.25291	46726.71125	45919.46082	38268.47371	50314.6351	38359.60898	34398.83937	36127.07504	45275.96691	36852.01127	40046.81133	24206.68571	22835.76556	22628.88007	20903.7482	21573.46867	19451.19134	21034.71196	45117.5842	44663.08984	44686.23114	52297.9532	33773.14478	43110.096	41084.1717	43075.47889	44594.01457	44346.92864	47808.11789	48467.8075	46345.04939	43386.21536	38161.48025	39254.08621	47528.98335	51939.94817	47846.33743	50831.60298	41036.28794	49966.70169	41853.00201	46199.49272	45455.60852	47911.82912	43340.72489	40727.86609	42198.61223	42124.82933	49835.38046	37353.40639	53319.41426	42914.75806	44067.85188	43576.4305	45409.0326	49916.66462	34515.15469	42797.03248	43584.06894	41253.19382	46373.95953	46876.83574	46015.74705	46942.55849	46936.05442	43690.7324	36334.09496	40943.28811	47436.98305	50523.60605	48347.76789	52679.01816	43151.6778	49755.86303	45346.4567	44984.46248	43355.50749	49322.84414	43765.94685	40712.61506	43903.70114	43994.3417	53825.20883	34500.36101	54754.09841	43961.55849	35475.97408	27514.49783	34974.38782	44797.7155	34374.16455	30796.6472	34273.66707	34687.86453	28057.65794	39939.93213	33917.0525	40527.01881	34837.54639	32885.65712	37317.87649	36183.40793	36121.02425	40740.54146	32981.87252	34931.79584	35738.79803	32622.49152	36246.14843	33701.22626	30983.08682	35518.92796	35040.68177	35947.04779	34580.34533	34421.63193	47537.45336	32339.81916	42404.97098	33985.31089	29460.86932	26575.40685	33909.07141	46571.00032	35735.50017	32133.27834	35262.23842	33076.21853	29237.78502	39652.88916	33538.02978	41530.65426	35241.80213	36174.06678	34596.47552	33351.38218	33345.16028	42616.48172	34932.46339	39404.24205	38702.09584	29260.93781	33721.79549	33407.01018	27348.43651	37548.83456	34971.53646	37166.09934	36512.78981	33198.7888	47539.81869	32502.84241	43363.15239	33093.149	21219.64597	21014.97921
240	300	13683.53584	26403.25156	37752.77029	45207.22722	46224.00081	37866.39451	50689.27198	38212.01172	38696.33856	25765.63868	34537.33585	35479.69356	37926.07926	27672.00411	47100.25036	37252.45795	40242.28278	18707.73764	16879.51151	27680.08804	36636.24763	45957.39676	45914.0281	38738.26871	50807.2142	38449.03942	33641.81066	35336.46365	45192.96865	37631.45745	38841.40859	21849.72522	18943.74794	21920.73383	21064.47805	20839.16665	18885.92273	20673.83771	43834.40236	43002.79767	43374.77467	49940.41535	32867.37057	43078.25281	40288.52313	43081.25028	40832.02841	42810.59028	46650.72493	47241.53195	45507.08398	43090.22613	36991.4324	38674.43405	45978.64935	49699.7479	46340.7489	49093.94968	39733.23815	48284.76744	40434.27452	44799.56639	44546.31671	46934.87164	42062.8145	39951.82693	41772.62689	42181.12329	48710.40251	36338.26101	51807.4234	42319.20365	42923.1268	43445.63833	44348.16648	47715.42302	33606.32754	42762.12936	43055.43006	41671.76567	44128.61918	45630.18635	45143.992	45406.79132	45305.00638	43075.28283	35766.61858	39115.20081	47174.37441	48617.03311	46978.38686	50686.18277	41336.84221	48043.79382	44147.86124	44019.57737	41593.01976	47788.93543	42846.93215	39342.24297	43042.11237	43303.94013	50586.98427	35145.34828	50586.93473	43308.13621	35142.24891	27396.01794	34196.6716	42806.34874	35594.0924	30749.93788	33515.56046	35286.05246	26858.46887	38759.15797	33549.52926	38961.62797	34399.64849	33316.17386	35545.11466	36534.1428	35449.28136	41115.3937	33206.38669	34564.04998	35539.72807	32973.59041	35172.73648	33821.05312	30578.50147	35251.75458	34574.73623	34977.87521	34387.57079	34895.17663	46586.6453	34353.33646	40340.83716	33931.11072	29681.4647	26971.4407	33790.74129	44508.02929	36308.4562	32324.10403	34683.39784	33984.71026	28278.29641	38757.69633	33909.78464	40278.7187	34497.85337	36245.42156	33650.89835	32715.30162	33640.71686	40853.42595	35115.80286	38044.97881	37759.91586	29233.82082	33829.53157	32805.44527	26680.29312	36983.4493	34552.46009	36060.57372	36234.28004	32659.67968	45888.08053	35135.33527	41168.97004	33618.41851	21449.94368	21603.82654
300	360	13582.39566	26802.53721	35583.2001	42884.60106	44261.89577	35586.14122	49906.53539	38658.31893	36459.64844	24832.50274	33746.67563	33811.18724	36213.25914	27720.84032	45869.03955	36823.87997	40763.9769	17699.30918	16049.00488	27629.4738	35586.19512	43956.77057	43940.61465	37329.90985	48358.00479	38511.05386	33718.5975	33486.36338	46090.51202	35753.99518	39999.45234	19846.91774	19864.00028	21543.49541	18963.767	20158.81619	19483.21873	21352.60854	41174.26653	41478.66536	41073.58405	46234.64782	31824.11878	40900.11491	37972.69982	41065.57786	39431.34227	40211.58971	43654.78702	43367.33843	43537.04207	41350.34782	35303.4487	36381.54323	43614.2396	47549.73387	43772.06628	44435.35201	37601.82313	44682.73183	37946.0632	41928.07096	43449.37605	43729.13366	39276.63266	37309.93265	39423.481	39160.55121	46910.2897	35250.73086	47453.45496	40711.58385	42035.52658	40964.08639	41065.77597	43577.46173	32494.26472	41056.47539	40308.83093	40655.95139	40258.41359	42301.62584	42199.2582	41649.1577	43804.5816	41194.57607	34703.10912	37807.74022	43137.11337	47718.04685	44591.07392	45522.33572	38727.69291	44499.08824	41100.77572	41073.15121	41252.35892	45381.00484	40143.64576	36904.3255	41140.25704	40603.52794	48029.59017	35532.58116	47568.16345	40461.07999	33960.49677	27206.56246	32898.91611	40673.03339	34414.44061	30135.29423	32145.3643	33771.98533	26674.01207	36148.32186	32529.56174	37014.30428	34053.96542	32453.37335	34042.37617	34172.97825	34891.86651	38221.10764	31988.73484	32084.71053	33961.00181	30847.98278	33795.40297	32436.21294	30423.60329	34329.5409	33490.64971	33304.60549	33251.30515	32549.15716	45406.85682	31757.23851	39255.322	33452.6381	28989.76755	26962.11694	32667.15927	41723.60812	33719.73888	31940.36484	33310.96218	33216.47827	27669.74257	36399.36416	32607.09797	37508.86832	34215.76849	34646.18836	33648.23727	31070.64462	31969.02433	40693.51461	33439.33495	35181.18758	35776.08143	28184.08286	32036.74645	31156.12459	26294.45309	35829.33441	33091.32121	34011.07149	35000.86214	31767.19292	44630.61855	35498.9555	39582.50516	32468.97683	21355.76873	21173.44766
360	480	12461.00203	25300.76328	33446.45717	38959.69535	41336.02056	32723.19033	46379.66822	37649.6412	34356.6123	22092.77668	31756.1256	32140.14057	33632.05769	25612.72735	42522.38478	35039.82543	39270.43597	15760.24867	14584.99587	25696.4125	33331.98861	39541.73987	41203.86017	34286.90991	44893.63767	36998.69675	31870.83688	32868.6847	41466.75018	34279.80695	41027.21562	18384.85137	17416.17206	20581.07444	18530.15844	19633.46972	17874.29702	20198.24611	37676.42501	37227.72206	36794.97991	40959.6376	29776.30226	37683.80162	34327.8417	37434.63476	35116.04711	35250.76577	39758.45899	38627.79765	39654.26696	37666.65908	33436.30043	32669.64929	39339.20784	41597.32859	39208.15731	40157.15723	34199.90652	40947.80095	34130.88079	37261.04185	38670.28941	39358.61365	35458.22752	32910.42344	36173.53956	35160.14651	40794.14402	33243.84918	40645.07194	37459.04553	38349.16101	36685.14234	37139.12741	39286.21952	30550.94066	37824.00049	36191.12917	36643.47869	36902.58495	37517.46561	39018.9607	37005.52522	39551.55359	37867.19042	32595.55163	33129.45664	39641.44635	41009.54979	39583.08307	40332.69586	34723.21859	40174.56346	37188.7545	37009.29537	37608.2004	40622.95608	36059.3137	32779.92819	37155.59166	36491.16541	42168.8997	31706.97963	40372.60774	38050.7827	31471.75232	25579.29434	30606.95939	36462.03104	32683.05401	28307.49571	29627.26384	32123.87977	24896.91354	32777.54402	31361.78845	32906.44712	31370.70807	30504.4535	33150.48765	31394.0798	31707.99509	35852.51072	29817.553	29664.28469	31435.25981	29367.29331	31000.16162	29400.19763	28934.70388	31426.29605	30840.01249	30555.32738	30984.81261	30383.46659	40107.67037	31671.0983	34618.60209	32126.51452	27574.64933	24374.48022	30311.8363	37389.58557	33024.7901	30242.93276	30533.03526	31147.83971	26383.46081	33206.09948	30732.32728	33831.66396	31629.73594	33016.09657	31599.90397	28909.12027	30024.11093	36528.89057	31582.23969	31643.17576	32316.94128	25809.83747	29821.14004	29182.54404	25415.78048	32989.04044	30904.26159	31396.6973	32603.71659	29537.85068	40003.66178	30675.21383	34576.36834	31366.14694	20926.43227	20843.20676
