frame_start	frame_end	Midbrain	Pons	Medulla	SCP
0	30	23.97552	5.63433	6.74877	0.25179
30	60	2557.81888	2186.91918	2041.5206	1574.84788
60	90	12156.33828	11036.92894	10129.82958	11195.46916
90	120	21403.52098	19317.70582	18165.1186	19329.14511
120	150	32077.94504	29789.69023	27167.48584	29503.88696
150	180	35920.87753	34061.46246	30845.62523	34044.40435
180	240	36887.51052	34686.59051	31369.51685	35546.67531
240	300	37289.97346	35101.2606	30390.41716	35696.03072
300	360	36579.24764	33842.07442	30762.31173	31569.40779
360	480	34409.03354	32283.51175	27970.02233	30151.41166
480	600	32020.87992	29214.56764	26319.04044	25150.59828
600	900	28177.14745	26400.25538	23791.11119	23052.33558
900	1200	23597.721	23173.2085	20347.20857	18722.82924
1200	1500	20436.47115	20380.10192	18374.90095	16256.56533
1500	1800	17530.30048	17703.70097	15403.05239	13332.75363
1800	2100	15144.10327	15777.28702	13602.08449	11679.91946
2100	2400	13247.38353	13968.17317	11321.06274	10588.71086
2400	2700	11761.713	12455.07882	10213.2851	8980.33499
2700	3000	9952.37273	11386.6045	8814.25951	8645.45336
3000	3300	9345.79916	10330.69525	8377.1706	8181.21413
3300	3600	8424.05601	9045.05646	7599.3581	7822.39407
3600	3900	7622.1736	8828.6209	6675.16335	6318.40073
3900	4200	6966.83137	7906.47773	6181.0634	6428.83088
4200	4500	6698.75461	7505.81383	6092.43361	6368.63776
4500	4800	6697.83462	6849.26355	5090.52739	4780.11495
4800	5100	5838.22599	6170.1323	5534.07207	5486.13958
5100	5400	5534.4338	5850.12085	4494.19801	4077.56161
5400	5700	4842.72681	5604.02924	5075.71418	4339.07699
5700	6000	5441.49131	5522.52202	4327.5869	4306.82887
6000	6300	4705.12142	5216.87474	4253.05985	4155.47754
6300	6600	4033.27755	4536.59913	3740.28311	3981.34665
6600	6900	4443.61231	4679.97467	3304.0666	4105.80536
6900	7200	4608.78406	4530.27254	4387.89573	4658.7502
