frame_start	frame_end	Dorsal-Raphe	Medial-Raphe	Pons
0	30	80.02742	1.64665	2.28532
30	60	2446.82466	2093.11928	2614.52495
60	90	17298.92651	10129.61127	12522.49136
90	120	30437.9021	20839.96675	22707.1102
120	150	40958.59649	32261.93545	36308.71659
150	180	51362.92336	34387.50571	42591.97033
180	240	50450.12334	32703.32376	42683.87602
240	300	47300.18744	37654.18403	42597.78448
300	360	49840.71038	37359.322	40402.59896
360	480	45111.62316	35733.00094	39192.10851
480	600	39137.26309	29209.88848	34793.95017
600	900	34899.19527	30604.44526	30963.72078
900	1200	25816.08207	25006.95669	26784.76134
1200	1500	22521.34167	22056.58015	23311.30343
1500	1800	19127.09894	17859.83814	20521.41703
1800	2100	15295.94372	14482.45812	18357.16634
2100	2400	12477.47038	13063.32604	15987.27424
2400	2700	11481.70524	10516.45751	14205.4537
2700	3000	9310.87011	10936.4114	12425.84197
3000	3300	8435.575	10939.93259	10866.98596
3300	3600	6556.6854	8996.17366	10102.9219
3600	3900	6993.91088	8227.48871	9639.20385
3900	4200	6370.80468	4671.95615	8981.49728
4200	4500	6586.98539	5494.47823	7844.85781
4500	4800	5821.81081	5933.94824	7138.6339
4800	5100	4709.98211	5140.51786	6517.66564
5100	5400	5046.36339	3687.98044	6504.58795
5400	5700	5502.8649	9115.19832	5296.39699
5700	6000	6444.5478	5802.79425	5897.49893
6000	6300	7397.40354	5638.70356	5498.59884
6300	6600	2968.87251	6028.86225	4641.99473
6600	6900	3880.61764	2310.42524	4619.1592
6900	7200	2966.66202	3281.16567	4251.34987
